date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-07-02,212.44,1.1041663628602123,-0.3237047080617169,1.4278710709219293,67.0,8.0,59.0,Above Signal,7,25.0,False
2025-07-03,213.55,1.8066405732352564,0.10236434819767776,1.7042762250375787,67.0,8.0,59.0,Above Signal,8,25.0,False
2025-07-07,209.95,2.04924412183982,0.4917403029261062,1.5575038189137136,67.0,8.0,59.0,Above Signal,9,25.0,False
2025-07-08,210.01,2.2207512425773928,0.8375424908563636,1.3832087517210292,67.0,8.0,59.0,Above Signal,10,25.0,False
2025-07-09,211.14,2.419957662043288,1.1540255250937486,1.2659321369495393,40.0,32.0,8.0,Above Signal,11,70.0,True
2025-07-10,212.41,2.6497637438237405,1.4531731688397471,1.1965905749839933,40.0,28.0,12.0,Above Signal,12,60.0,True
2025-07-11,211.16,2.6998994062577424,1.7025184163233464,0.997380989934396,40.0,28.0,12.0,Above Signal,13,65.0,True
2025-07-14,208.62,2.5057903166404003,1.8631727963867573,0.642617520253643,35.0,31.0,4.0,Above Signal,14,80.0,True
2025-07-15,209.11,2.364242849656563,1.9633868070407183,0.4008560426158445,35.0,31.0,4.0,Above Signal,15,85.0,True
2025-07-16,210.16,2.3101615823654242,2.0327417621056596,0.27741982025976464,35.0,31.0,4.0,Above Signal,16,90.0,True
2025-07-17,210.02,2.2302955002157887,2.0722525097276856,0.1580429904881031,35.0,31.0,4.0,Above Signal,17,90.0,True
2025-07-18,211.18,2.234841498529164,2.104770307487981,0.13007119104118292,35.0,31.0,4.0,Above Signal,18,90.0,True
2025-07-21,212.48,2.316638602637596,2.147143966517904,0.16949463611969184,35.0,31.0,4.0,Above Signal,19,85.0,True
2025-07-22,214.4,2.507486606111314,2.2192124944365865,0.2882741116747276,55.0,8.0,47.0,Above Signal,20,20.0,False
2025-07-23,214.15,2.608493029276019,2.297068601404473,0.3114244278715459,45.0,8.0,37.0,Above Signal,21,25.0,False
2025-07-24,213.76,2.626791588401943,2.3630131988039675,0.2637783895979755,45.0,8.0,37.0,Above Signal,22,25.0,False
2025-07-25,213.88,2.620765769045903,2.4145637128523547,0.20620205619354826,45.0,8.0,37.0,Above Signal,23,25.0,False
2025-07-28,214.05,2.5997396624957503,2.4515989027810337,0.14814075971471663,29.0,31.0,-2.0,Above Signal,24,80.0,True
2025-07-29,211.27,2.331873172606066,2.4276537567460403,-0.09578058413997415,0.0,65.0,-65.0,Below Signal,0,20.0,False
2025-07-30,209.05,1.9183381942297615,2.325790644242785,-0.40745245001302344,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-07-31,207.57,1.4544194710662168,2.1515164096074715,-0.6970969385412547,0.0,61.0,-61.0,Below Signal,2,25.0,False
2025-08-01,202.38,0.6603587110826368,1.8532848699025046,-1.1929261588198679,0.0,61.0,-61.0,Below Signal,3,25.0,False
2025-08-04,203.35,0.10808479700909857,1.5042448553238235,-1.396160058314725,0.0,63.0,-63.0,Below Signal,4,25.0,False
2025-08-05,202.92,-0.3601421703933738,1.131367450180384,-1.491509620573758,0.0,63.0,-63.0,Below Signal,5,25.0,False
2025-08-06,213.25,0.10116310780003346,0.925326581704314,-0.8241634739042806,0.0,54.0,-54.0,Below Signal,6,25.0,False
2025-08-07,220.03,1.0022864669795126,0.9407185587593538,0.061567908220158785,73.0,8.0,65.0,Above Signal,0,20.0,False
2025-08-08,229.35,2.440348512297021,1.2406445494668874,1.1997039628301336,74.0,8.0,66.0,Above Signal,1,25.0,False
2025-08-11,227.18,3.3661196473771327,1.6657395690489365,1.7003800783281962,74.0,8.0,66.0,Above Signal,2,25.0,False
2025-08-12,229.65,4.250115611928464,2.182614777624842,2.0675008343036225,79.0,8.0,71.0,Above Signal,3,25.0,False
2025-08-13,233.33,5.187831930458117,2.783658208191497,2.40417372226662,76.0,8.0,68.0,Above Signal,4,25.0,False
2025-08-14,232.78,5.819514722121426,3.3908295109774826,2.428685211143943,76.0,8.0,68.0,Above Signal,5,25.0,False
2025-08-15,231.59,6.153174861206679,3.9432985810233223,2.209876280183357,72.0,8.0,64.0,Above Signal,6,25.0,False
2025-08-18,230.89,6.288627393410735,4.412364343500805,1.8762630499099302,56.0,32.0,24.0,Above Signal,7,70.0,True
2025-08-19,230.56,6.296761116437722,4.789243698088189,1.5075174183495328,51.0,28.0,23.0,Above Signal,8,65.0,True
2025-08-20,226.01,5.868412767054991,5.00507751188155,0.8633352551734417,46.0,31.0,15.0,Above Signal,9,80.0,True
2025-08-21,224.9,5.3773887011049055,5.079539749726221,0.2978489513786844,41.0,31.0,10.0,Above Signal,10,90.0,True
2025-08-22,227.76,5.159550601558777,5.095541920092733,0.06400868146604388,35.0,31.0,4.0,Above Signal,11,90.0,True
2025-08-25,227.16,4.882218180529122,5.052877172180011,-0.17065899165088894,0.0,61.0,-61.0,Below Signal,0,25.0,False
2025-08-26,229.31,4.780807102166534,4.998463158177316,-0.21765605601078164,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-08-27,230.49,4.741002900005924,4.946971106543037,-0.20596820653711312,0.0,56.0,-56.0,Below Signal,2,25.0,False
2025-08-28,232.56,4.820916953583691,4.921760275951168,-0.10084332236747695,0.0,56.0,-56.0,Below Signal,3,25.0,False
2025-08-29,232.14,4.795084181274746,4.896425057015883,-0.10134087574113781,31.0,37.0,-6.0,Below Signal,4,80.0,True
2025-09-02,229.72,4.527151562727568,4.82257035815822,-0.29541879543065264,0.0,57.0,-57.0,Below Signal,5,20.0,False
2025-09-03,238.47,4.963647071697977,4.8507857008661714,0.11286137083180581,65.0,0.0,65.0,Above Signal,0,20.0,False
2025-09-04,239.78,5.353566378478803,4.951341836388698,0.4022245420901047,65.0,0.0,65.0,Above Signal,1,20.0,False
2025-09-05,239.69,5.590869922213301,5.079247453553619,0.5116224686596818,61.0,0.0,61.0,Above Signal,2,25.0,False
2025-09-08,237.88,5.56869042032767,5.177136046908429,0.3915543734192406,56.0,0.0,56.0,Above Signal,3,25.0,False
2025-09-09,234.35,5.206257016624335,5.18296024085161,0.023296775772724487,37.0,35.0,2.0,Above Signal,4,100.0,True
2025-09-10,226.79,4.25989173433112,4.998346539547512,-0.7384548052163922,0.0,70.0,-70.0,Below Signal,0,20.0,False
2025-09-11,230.03,3.7283532170435194,4.744347875046714,-1.0159946580031942,0.0,71.0,-71.0,Below Signal,1,25.0,False
2025-09-12,234.07,3.5916965072934772,4.513817601496067,-0.9221210942025895,0.0,66.0,-66.0,Below Signal,2,25.0,False
2025-09-15,236.7,3.6534988400272823,4.34175384920231,-0.6882550091750277,0.0,61.0,-61.0,Below Signal,3,25.0,False
2025-09-16,238.15,3.7759536723397673,4.228593813829802,-0.4526401414900345,35.0,42.0,-7.0,Below Signal,4,85.0,True
2025-09-17,238.99,3.8958718039539235,4.1620494118546265,-0.266177607900703,31.0,37.0,-6.0,Below Signal,5,90.0,True
2025-09-18,237.88,3.8568803480510496,4.101015599093912,-0.24413525104286204,31.0,33.0,-2.0,Below Signal,6,90.0,True
2025-09-19,245.5,4.390241682052448,4.158860815685619,0.23138086636682864,65.0,0.0,65.0,Above Signal,0,20.0,False
2025-09-22,256.08,5.6020747308335785,4.447503598715211,1.1545711321183676,75.0,0.0,75.0,Above Signal,1,20.0,False
2025-09-23,254.43,6.356051339071428,4.829213146786454,1.5268381922849734,71.0,0.0,71.0,Above Signal,2,25.0,False
2025-09-24,252.31,6.705223310322481,5.20441517949366,1.5008081308288208,71.0,0.0,71.0,Above Signal,3,25.0,False
2025-09-25,256.87,7.266138976569636,5.616759938908855,1.6493790376607809,68.0,0.0,68.0,Above Signal,4,25.0,False
2025-09-26,255.46,7.5103191825858175,5.995471787644248,1.5148473949415697,68.0,0.0,68.0,Above Signal,5,25.0,False
2025-09-29,254.43,7.53387553564599,6.303152537244596,1.2307229984013937,43.0,32.0,11.0,Above Signal,6,70.0,True
2025-09-30,254.63,7.482429652309662,6.539007960257609,0.9434216920520528,43.0,35.0,8.0,Above Signal,7,85.0,True
2025-10-01,255.45,7.422266300381665,6.715659628282421,0.7066066720992437,38.0,31.0,7.0,Above Signal,8,80.0,True
2025-10-02,257.13,7.424562633767096,6.857440229379357,0.5671224043877388,38.0,31.0,7.0,Above Signal,9,80.0,True
2025-10-03,258.02,7.412748505977703,6.968501884699026,0.4442466212786771,38.0,31.0,7.0,Above Signal,10,85.0,True
2025-10-06,256.69,7.212919790405039,7.0173854658402295,0.19553432456480913,27.0,31.0,-4.0,Above Signal,11,90.0,True
2025-10-07,256.48,6.957408178028658,7.0053900082779155,-0.04798183024925784,0.0,61.0,-61.0,Below Signal,0,25.0,False
2025-10-08,258.06,6.803974200491325,6.965106846720598,-0.16113264622927304,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-10-09,254.04,6.285540466517716,6.829193570680022,-0.5436531041623063,0.0,61.0,-61.0,Below Signal,2,25.0,False
2025-10-10,245.27,5.1081289602248034,6.484980648588979,-1.3768516883641757,0.0,75.0,-75.0,Below Signal,3,20.0,False
2025-10-13,247.66,4.318098532670803,6.051604225405344,-1.7335056927345418,0.0,68.0,-68.0,Below Signal,4,25.0,False
2025-10-14,247.77,3.658694653160751,5.573022310956426,-1.914327657795675,0.0,73.0,-73.0,Below Signal,5,20.0,False
2025-10-15,249.34,3.225615321314848,5.103540913028111,-1.8779255917132627,0.0,64.0,-64.0,Below Signal,6,25.0,False
2025-10-16,247.45,2.69877977275965,4.622588684974419,-1.9238089122147688,0.0,64.0,-64.0,Below Signal,7,20.0,False
2025-10-17,252.29,2.6413584196436375,4.226342631908262,-1.584984212264625,20.0,48.0,-28.0,Below Signal,8,70.0,False
2025-10-20,262.24,3.3600014231038244,4.0530743901473745,-0.69307296704355,35.0,38.0,-3.0,Below Signal,9,90.0,True
2025-10-21,262.77,3.9270294010500777,4.027865392327915,-0.1008359912778376,31.0,33.0,-2.0,Below Signal,10,90.0,True
2025-10-22,258.45,3.981914233901989,4.01867516064273,-0.03676092674074116,31.0,27.0,4.0,Below Signal,11,90.0,True
2025-10-23,259.58,4.0696796814765435,4.028876064809493,0.040803616667050235,61.0,0.0,61.0,Above Signal,0,25.0,False
2025-10-24,262.82,4.350525206710415,4.093205893189678,0.2573193135207372,61.0,0.0,61.0,Above Signal,1,25.0,False
2025-10-27,268.81,4.99881699762912,4.274328114077567,0.7244888835515537,65.0,0.0,65.0,Above Signal,2,20.0,False
2025-10-28,269.0,5.4649280361252295,4.512448098487099,0.9524799376381301,61.0,0.0,61.0,Above Signal,3,25.0,False
2025-10-29,269.7,5.823676820860044,4.774693842961689,1.0489829778983548,63.0,0.0,63.0,Above Signal,4,25.0,False
2025-10-30,271.4,6.1739936542464875,5.054553805218649,1.119439849027838,63.0,0.0,63.0,Above Signal,5,25.0,False
2025-10-31,270.37,6.295934265540723,5.302829897283065,0.9931043682576579,54.0,0.0,54.0,Above Signal,6,25.0,False
