date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-09-11,501.01,-3.23483890481549,-2.1782651175777055,-1.0565737872377845,31.0,21.0,10.0,Below Signal,24,80.0,True
2025-09-12,509.9,-2.4502530060138383,-2.232662695264932,-0.2175903107489061,35.0,21.0,14.0,Below Signal,25,100.0,True
2025-09-15,515.36,-1.372070287510894,-2.0605442137141248,0.6884739262032307,69.0,8.0,61.0,Above Signal,0,25.0,False
2025-09-16,509.04,-1.015863652928772,-1.8516081015570545,0.8357444486282826,69.0,8.0,61.0,Above Signal,1,25.0,False
2025-09-17,510.02,-0.6470309488780686,-1.6106926710212575,0.9636617221431889,69.0,8.0,61.0,Above Signal,2,25.0,False
2025-09-18,508.45,-0.4759280502756269,-1.3837397468721315,0.9078116965965046,69.0,8.0,61.0,Above Signal,3,25.0,False
2025-09-19,517.93,0.41978992498587786,-1.0230338125005296,1.4428237374864075,70.0,8.0,62.0,Above Signal,4,20.0,False
2025-09-22,514.45,0.8391724990513012,-0.6505925501901635,1.4897650492414647,71.0,8.0,63.0,Above Signal,5,25.0,False
2025-09-23,509.23,0.7417751140706059,-0.37211901733800967,1.1138941314086157,62.0,8.0,54.0,Above Signal,6,25.0,False
2025-09-24,510.15,0.7304036573014514,-0.15161448241011746,0.8820181397115688,46.0,35.0,11.0,Above Signal,7,85.0,True
2025-09-25,507.03,0.46428181900887466,-0.028435222126319035,0.4927170411351937,41.0,31.0,10.0,Above Signal,8,85.0,True
2025-09-26,511.46,0.6038811557424424,0.09802805344743326,0.5058531022950091,41.0,31.0,10.0,Above Signal,9,85.0,True
2025-09-29,514.6,0.9568563494141245,0.2697937126407715,0.687062636773353,46.0,31.0,15.0,Above Signal,10,80.0,True
2025-09-30,517.95,1.4897359871977756,0.5137821675521723,0.9759538196456032,60.0,8.0,52.0,Above Signal,11,20.0,False
2025-10-01,519.71,2.030656091020319,0.8171569522458016,1.2134991387745173,61.0,8.0,53.0,Above Signal,12,25.0,False
2025-10-02,515.74,2.114617356510678,1.0766490330987768,1.037968323411901,56.0,8.0,48.0,Above Signal,13,25.0,False
2025-10-03,517.35,2.284733819712301,1.3182659904214817,0.9664678292908191,56.0,8.0,48.0,Above Signal,14,25.0,False
2025-10-06,528.57,3.287021831397851,1.7120171586167559,1.5750046727810953,65.0,8.0,57.0,Above Signal,15,20.0,False
